value,label
103,0
103,0
103,0
102,0
102,0
102,0
102,0
101,0
102,0
99,0
98,0
98,0
98,0
98,0
99,0
98,0
98,0
97,0
97,0
97,0
95,0
94,0
92,0
94,0
91,0
92,0
91,0
92,0
92,0
91,0
91,0
94,0
92,0
94,0
92,0
91,0
91,0
90,0
91,0
91,0
91,0
91,0
92,0
91,0
94,0
91,0
92,0
95,0
95,0
94,0
94,0
94,0
95,0
94,0
95,0
95,0
92,0
92,0
95,0
95,0
95,0
94,0
92,0
92,0
92,0
92,0
92,0
92,0
91,0
91,0
92,0
92,0
92,0
95,0
94,0
92,0
95,0
95,0
95,0
95,0
94,0
95,0
95,0
100,0
102,0
119,0
120,0
120,0
121,0
121,0
122,0
121,0
121,0
123,0
123,0
120,0
120,0
118,0
117,0
114,0
112,0
110,0
110,0
106,0
105,0
105,0
104,0
117,0
128,0
138,0
146,0
154,0
164,0
173,0
183,0
189,0
196,0
201,0
207,0
212,0
219,0
220,0
223,0
228,0
234,0
237,0
241,0
242,0
244,0
246,0
248,0
250,0
251,0
254,0
254,0
257,0
259,0
263,0
266,0
266,0
267,0
270,0
270,0
272,0
273,0
274,0
274,0
277,0
277,0
279,0
282,0
281,0
284,0
284,0
284,0
283,0
284,0
284,0
284,0
284,0
284,0
284,0
284,0
285,0
284,0
286,0
287,0
288,0
289,0
288,0
289,0
288,0
288,0
288,0
287,0
289,0
291,0
289,0
291,0
289,0
288,0
289,0
289,0
289,0
289,0
289,0
288,0
288,0
288,0
288,0
289,0
288,0
289,0
288,0
288,0
288,0
288,0
288,0
288,0
289,0
289,0
288,0
289,0
289,0
289,0
291,0
291,0
293,0
295,0
297,0
296,0
297,0
296,0
295,0
295,0
295,0
296,0
296,0
295,0
293,0
295,0
296,0
295,0
295,0
300,0
298,0
298,0
299,0
298,0
299,0
300,0
298,0
300,0
299,0
301,0
301,0
300,0
299,0
301,0
305,0
308,0
309,0
310,0
311,0
311,0
312,0
312,0
312,0
314,0
313,0
314,0
312,0
311,0
310,0
308,0
306,0
305,0
305,0
305,0
305,0
305,0
304,0
302,0
302,0
302,0
301,0
297,0
297,0
296,0
296,0
295,0
293,0
293,0
292,0
294,0
295,0
295,0
294,0
294,0
293,0
293,0
291,0
292,0
291,0
289,0
291,0
291,0
291,0
289,0
288,0
289,0
291,0
292,0
292,0
292,0
292,0
291,0
289,0
289,0
288,0
289,0
291,0
289,0
291,0
288,0
287,0
288,0
288,0
287,0
288,0
284,0
286,0
285,0
285,0
285,0
284,0
285,0
287,0
287,0
285,0
286,0
287,0
284,0
283,0
283,0
283,0
282,0
284,0
283,0
284,0
282,0
284,0
284,0
284,0
287,0
288,0
287,0
286,0
287,0
287,0
288,0
287,0
286,0
288,0
287,0
289,0
289,0
291,0
289,0
288,0
288,0
286,0
288,0
289,0
288,0
289,0
288,0
289,0
289,0
289,0
288,0
286,0
285,0
288,0
291,0
291,0
294,0
297,0
298,0
299,0
300,0
301,0
299,0
299,0
300,0
298,0
298,0
298,0
297,0
296,0
296,0
296,0
298,0
296,0
295,0
295,0
296,0
294,0
296,0
295,0
298,0
299,0
298,0
298,0
296,0
295,0
295,0
295,0
296,0
295,0
295,0
295,0
296,0
296,0
296,0
296,0
296,0
294,0
294,0
294,0
296,0
296,0
296,0
295,0
297,0
295,0
294,0
295,0
293,0
292,0
291,0
292,0
291,0
289,0
289,0
289,0
289,0
289,0
289,0
289,0
288,0
288,0
289,0
291,0
289,0
289,0
289,0
289,0
289,0
289,0
288,0
291,0
291,0
291,0
292,0
293,0
296,0
296,0
297,0
296,0
295,0
298,0
297,0
294,0
295,0
294,0
293,0
292,0
292,0
293,0
294,0
292,0
293,0
291,0
291,0
289,0
289,0
289,0
292,0
292,0
293,0
294,0
298,0
299,0
301,0
304,0
305,0
307,0
309,0
312,0
313,0
316,0
316,0
314,0
311,0
312,0
310,0
308,0
305,0
305,0
305,0
305,0
304,0
302,0
299,0
298,0
