value,label
0,0
0,0
9,0
6,0
9,0
15,0
9,0
15,0
15,0
9,0
18,0
18,0
21,0
24,0
21,0
15,0
33,0
24,0
33,0
36,0
33,0
54,0
39,0
39,0
39,0
45,0
37,0
48,0
30,0
45,0
24,0
57,0
45,0
24,0
33,0
21,0
30,0
12,0
24,0
39,0
30,0
36,0
18,0
18,0
24,0
18,0
33,0
15,0
33,0
9,0
27,0
21,0
33,0
30,0
30,0
36,0
36,0
24,0
18,0
45,0
33,0
33,0
33,0
24,0
51,0
33,0
45,0
51,0
42,0
60,0
66,0
45,0
45,0
69,0
48,0
51,0
36,0
51,0
51,0
57,0
45,0
60,0
42,0
54,0
81,0
51,0
45,0
60,0
51,0
63,0
45,0
42,0
57,0
57,0
63,0
48,0
39,0
27,0
39,0
39,0
33,0
33,0
39,0
36,0
24,0
25,0
30,0
33,0
36,0
30,0
27,0
21,0
27,0
24,0
24,0
37,0
33,0
27,0
27,0
18,0
42,0
12,0
30,0
18,0
24,0
15,0
12,0
36,0
33,0
27,0
48,0
27,0
21,0
18,0
9,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
21,0
33,0
15,0
15,0
24,0
9,0
21,0
18,0
6,0
15,0
12,0
6,0
21,0
0,0
6,0
9,0
3,0
2,0
2,0
2,0
2,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
9,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
3,0
0,0
0,0
0,0
6,0
0,0
6,0
0,0
0,0
6,0
3,0
3,0
6,0
6,0
24,0
9,0
6,0
6,0
21,0
12,0
15,0
6,0
15,0
39,0
9,0
0,0
42,0
30,0
42,0
54,0
48,0
21,0
48,0
45,0
54,0
24,0
72,0
45,0
84,0
57,0
27,0
39,0
27,0
63,0
48,0
51,0
30,0
57,0
45,0
39,0
39,0
45,0
45,0
24,0
30,0
57,0
24,0
27,0
51,0
45,0
45,0
36,0
21,0
36,0
24,0
36,0
33,0
