value,label
188,0
200,0
192,0
218,0
199,0
216,0
255,0
240,0
292,0
340,0
343,0
316,0
351,0
394,0
386,0
465,0
439,0
511,0
509,0
540,0
455,0
463,0
440,0
432,0
492,0
474,0
530,0
579,0
541,0
536,0
565,0
523,0
510,0
560,0
530,0
538,0
732,0
757,0
746,0
704,0
621,0
602,0
524,0
400,0
368,0
387,0
397,0
384,0
387,0
344,0
318,0
321,0
336,0
309,0
308,0
339,0
336,0
353,0
326,0
320,0
341,0
338,0
310,0
330,0
323,0
342,0
383,0
364,0
364,0
380,0
361,0
369,0
381,0
408,0
441,0
511,0
434,0
442,0
493,0
496,0
496,0
488,0
468,0
526,0
537,0
536,0
497,0
538,0
501,0
488,0
514,0
474,0
505,0
543,0
523,0
451,0
529,0
532,0
478,0
477,0
446,0
432,0
484,0
416,0
430,0
483,0
412,0
383,0
412,0
422,0
367,0
414,0
372,0
366,0
383,0
332,0
305,0
334,0
297,0
302,0
293,0
324,0
280,0
287,0
262,0
251,0
259,0
228,0
226,0
227,0
249,0
235,0
248,0
241,0
222,0
229,0
205,0
208,0
224,0
207,0
217,0
237,0
216,0
215,0
222,0
218,0
192,0
210,0
194,0
211,0
215,0
199,0
195,0
214,0
206,0
183,0
189,0
184,0
175,0
204,0
185,0
179,0
195,0
170,0
161,0
180,0
156,0
163,0
190,0
185,0
163,0
178,0
157,0
155,0
165,0
147,0
144,0
170,0
163,0
158,0
174,0
169,0
152,0
164,0
147,0
146,0
164,0
159,0
152,0
172,0
151,0
151,0
157,0
164,0
145,0
154,0
157,0
154,0
169,0
150,0
151,0
158,0
147,0
142,0
153,0
161,0
155,0
170,0
151,0
151,0
164,0
148,0
140,0
156,0
142,0
155,0
172,0
167,0
148,0
160,0
145,0
141,0
157,0
138,0
152,0
173,0
153,0
149,0
164,0
160,0
141,0
155,0
139,0
143,0
172,0
151,0
149,0
159,0
143,0
142,0
155,0
156,0
135,0
168,0
152,0
152,0
163,0
145,0
141,0
157,0
139,0
136,0
159,0
169,0
151,0
166,0
146,0
145,0
159,0
140,0
138,0
154,0
153,0
152,0
158,0
163,0
146,0
159,0
144,0
142,0
152,0
149,0
154,0
164,0
149,0
147,0
162,0
155,0
143,0
156,0
146,0
159,0
171,0
156,0
154,0
171,0
148,0
154,0
180,0
189,0
202,0
228,0
220,0
241,0
264,0
275,0
294,0
297,0
290,0
369,0
446,0
427,0
405,0
415,0
424,0
418,0
475,0
464,0
457,0
533,0
540,0
537,0
592,0
600,0
570,0
566,0
557,0
550,0
717,0
660,0
715,0
683,0
643,0
705,0
705,0
722,0
651,0
699,0
686,0
667,0
641,0
518,0
448,0
424,0
429,0
414,0
369,0
431,0
360,0
399,0
346,0
425,0
359,0
321,0
313,0
333,0
322,0
361,0
399,0
361,0
369,0
364,0
339,0
369,0
511,0
527,0
378,0
413,0
429,0
503,0
474,0
490,0
478,0
510,0
499,0
496,0
571,0
583,0
557,0
731,0
669,0
722,0
759,0
762,0
797,0
806,0
824,0
765,0
818,0
725,0
798,0
788,0
894,0
906,0
921,0
859,0
791,0
832,0
848,0
915,0
834,0
498,0
477,0
464,0
415,0
417,0
500,0
495,0
394,0
395,0
353,0
355,0
342,0
340,0
354,0
338,0
312,0
284,0
303,0
274,0
251,0
258,0
267,0
257,0
287,0
244,0
246,0
251,0
228,0
228,0
244,0
245,0
239,0
277,0
228,0
209,0
230,0
213,0
215,0
227,0
208,0
232,0
238,0
229,0
209,0
216,0
197,0
189,0
208,0
208,0
202,0
224,0
194,0
196,0
208,0
195,0
174,0
182,0
168,0
165,0
200,0
184,0
174,0
184,0
172,0
166,0
169,0
168,0
149,0
178,0
162,0
164,0
175,0
159,0
156,0
168,0
147,0
147,0
167,0
182,0
157,0
173,0
154,0
150,0
166,0
145,0
144,0
157,0
157,0
157,0
170,0
164,0
150,0
159,0
146,0
144,0
157,0
149,0
155,0
171,0
153,0
149,0
163,0
157,0
144,0
159,0
150,0
164,0
171,0
154,0
152,0
165,0
149,0
145,0
164,0
159,0
152,0
166,0
151,0
148,0
164,0
144,0
143,0
152,0
139,0
143,0
170,0
166,0
150,0
167,0
146,0
143,0
157,0
141,0
139,0
171,0
150,0
150,0
162,0
163,0
146,0
158,0
141,0
138,0
165,0
153,0
151,0
165,0
146,0
143,0
161,0
153,0
140,0
157,0
154,0
153,0
170,0
149,0
148,0
157,0
141,0
141,0
154,0
162,0
146,0
157,0
141,0
138,0
152,0
135,0
133,0
150,0
136,0
150,0
169,0
164,0
143,0
157,0
138,0
138,0
151,0
136,0
152,0
171,0
157,0
161,0
182,0
198,0
189,0
214,0
195,0
228,0
286,0
260,0
292,0
352,0
357,0
327,0
340,0
405,0
391,0
489,0
412,0
416,0
501,0
465,0
453,0
463,0
446,0
463,0
555,0
546,0
505,0
510,0
522,0
499,0
503,0
496,0
481,0
490,0
507,0
535,0
512,0
509,0
519,0
530,0
581,0
557,0
490,0
546,0
454,0
1002,0
658,0
458,0
350,0
337,0
314,0
339,0
342,0
347,0
353,0
332,0
353,0
404,0
314,0
313,0
338,0
334,0
347,0
361,0
336,0
348,0
351,0
336,0
359,0
389,0
363,0
391,0
433,0
447,0
419,0
491,0
450,0
408,0
485,0
474,0
481,0
650,0
577,0
570,0
562,0
602,0
529,0
515,0
487,0
491,0
559,0
573,0
545,0
569,0
535,0
528,0
524,0
493,0
418,0
502,0
522,0
511,0
525,0
514,0
485,0
571,0
513,0
426,0
