value,label
17680,0
16228,0
15996,0
14576,0
13672,0
13056,0
12310,0
11572,0
10910,0
10264,0
10034,0
9304,0
8820,0
8602,0
8482,0
7900,0
7526,0
7578,0
7020,0
7262,0
6804,0
6754,0
6068,0
6086,0
6218,0
5640,0
5544,0
5088,0
5574,0
5232,0
4720,0
4466,0
5386,0
4372,0
4254,0
4764,0
4232,0
4220,0
3966,0
4186,0
3866,0
4192,0
4610,0
3676,0
3558,0
3520,0
3562,0
3932,0
3468,0
3438,0
3694,0
3492,0
3758,0
3586,0
3750,0
3572,0
3570,0
3530,0
3536,0
3732,0
3714,0
3718,0
3770,0
4104,0
3980,0
4392,0
4592,0
4786,0
5076,0
4994,0
6434,0
5514,0
6042,0
7526,0
7684,0
7680,0
8174,0
8698,0
9040,0
9624,0
10464,0
11042,0
11314,0
12936,0
13380,0
14070,0
15112,0
14992,0
16106,0
16120,0
15980,0
17244,0
17156,0
18390,0
17910,0
18904,0
19800,0
21778,0
23652,0
23896,0
26026,0
25642,0
27988,0
28884,0
29490,0
30080,0
29888,0
31646,0
34224,0
35436,0
37362,0
35738,0
36564,0
36424,0
37702,0
39098,0
39612,0
39230,0
39000,0
38574,0
40734,0
40012,0
38328,0
38564,0
38618,0
39214,0
38884,0
38744,0
38688,0
39350,0
38308,0
38798,0
38480,0
38440,0
37518,0
38148,0
36746,0
37498,0
36050,0
36704,0
35996,0
35644,0
35848,0
35214,0
34890,0
34582,0
35662,0
36266,0
36286,0
38034,0
38942,0
38340,0
37728,0
37506,0
37538,0
37264,0
36350,0
36980,0
36384,0
36072,0
35772,0
35072,0
34378,0
35266,0
34582,0
35160,0
34892,0
35026,0
36496,0
37588,0
38282,0
38596,0
36708,0
36880,0
37824,0
38136,0
38672,0
38836,0
39392,0
39710,0
40502,0
38546,0
39864,0
38442,0
38302,0
38082,0
38652,0
38330,0
37358,0
37820,0
38032,0
37700,0
37520,0
39338,0
37410,0
38064,0
39364,0
37778,0
37408,0
37920,0
37940,0
37846,0
38450,0
37986,0
37244,0
37292,0
36922,0
36980,0
37552,0
37074,0
36996,0
37100,0
37314,0
38272,0
38148,0
38386,0
37234,0
37344,0
37142,0
37666,0
37598,0
38480,0
37518,0
37264,0
36830,0
37880,0
37632,0
38134,0
38414,0
38076,0
38566,0
38300,0
38828,0
38350,0
38140,0
38912,0
37632,0
37442,0
37286,0
37880,0
37406,0
37448,0
37734,0
38372,0
38306,0
38728,0
38468,0
38740,0
38916,0
37960,0
39172,0
38384,0
37954,0
39048,0
38830,0
39094,0
38356,0
38482,0
37776,0
39092,0
39730,0
39854,0
39728,0
40626,0
39518,0
39346,0
41280,0
40296,0
40562,0
40514,0
40746,0
39596,0
39112,0
39580,0
38298,0
37654,0
36370,0
36112,0
35686,0
34972,0
35378,0
34698,0
33286,0
32630,0
32288,0
31410,0
30202,0
30288,0
36000,0
36894,0
33740,0
30322,0
28294,0
26558,0
26124,0
24212,0
22316,0
21458,0
20382,0
19258,0
17830,0
17120,0
16014,0
15142,0
14088,0
13560,0
12884,0
11690,0
11168,0
10286,0
9646,0
9438,0
8410,0
8398,0
7954,0
7322,0
7134,0
6940,0
6556,0
6252,0
6232,0
6126,0
5578,0
5500,0
5690,0
5252,0
5396,0
5016,0
5186,0
4842,0
4680,0
4734,0
4504,0
5014,0
4464,0
4470,0
4348,0
4422,0
4286,0
4318,0
4216,0
4276,0
4194,0
4366,0
3988,0
3978,0
4406,0
4230,0
4278,0
4568,0
4764,0
4976,0
5086,0
5002,0
5432,0
5830,0
5932,0
6350,0
6280,0
6710,0
7240,0
8488,0
8432,0
8980,0
9716,0
11118,0
10912,0
11880,0
12532,0
12840,0
13974,0
14734,0
15080,0
16732,0
17236,0
17320,0
18646,0
18940,0
20116,0
19970,0
20812,0
20620,0
22386,0
22564,0
24594,0
25328,0
26556,0
27264,0
27954,0
28514,0
29416,0
31452,0
32026,0
32806,0
33054,0
33402,0
36284,0
36314,0
39260,0
37868,0
39868,0
38872,0
38450,0
40596,0
40396,0
40418,0
40212,0
41174,0
42290,0
42002,0
41100,0
42498,0
41298,0
40494,0
41292,0
40784,0
41328,0
40374,0
40868,0
39350,0
39354,0
40388,0
40310,0
41298,0
40676,0
38954,0
38660,0
37740,0
38050,0
37076,0
36682,0
35710,0
34974,0
36058,0
36644,0
36768,0
36998,0
38892,0
39070,0
38868,0
39026,0
38962,0
38010,0
37792,0
37382,0
37006,0
37612,0
37324,0
36400,0
36854,0
36448,0
35488,0
35242,0
36260,0
35698,0
36056,0
35532,0
35734,0
36670,0
37250,0
36294,0
36882,0
37472,0
37308,0
38234,0
38936,0
39070,0
37994,0
37608,0
38392,0
37080,0
37202,0
36634,0
36658,0
36638,0
36158,0
36208,0
35858,0
34686,0
35892,0
35574,0
34838,0
35090,0
35248,0
35336,0
35682,0
35760,0
35134,0
34594,0
34412,0
34474,0
33118,0
33958,0
32172,0
33192,0
33098,0
33082,0
33006,0
33082,0
32078,0
32574,0
32754,0
32460,0
32128,0
31838,0
31260,0
32244,0
32080,0
32878,0
32138,0
31566,0
33068,0
31676,0
31858,0
32494,0
31960,0
32734,0
33050,0
32720,0
32608,0
34286,0
34072,0
33458,0
33522,0
34340,0
34628,0
33344,0
33412,0
33148,0
33020,0
33008,0
32314,0
34288,0
34232,0
34148,0
34434,0
33322,0
32934,0
33078,0
33456,0
32930,0
33368,0
33772,0
33830,0
32200,0
32168,0
34334,0
32850,0
33368,0
32930,0
31964,0
31540,0
31186,0
30194,0
30060,0
29534,0
29486,0
28456,0
27912,0
26956,0
26012,0
26200,0
25482,0
25228,0
24782,0
23324,0
22968,0
21770,0
21898,0
20886,0
19550,0
18894,0
18408,0
18008,0
17760,0
17064,0
18010,0
16084,0
14712,0
14472,0
13434,0
12824,0
12262,0
11798,0
10956,0
10536,0
9740,0
9222,0
9064,0
8896,0
8114,0
8356,0
7654,0
7412,0
7180,0
6790,0
6728,0
6230,0
6092,0
6070,0
6102,0
5448,0
5570,0
5072,0
5022,0
5138,0
4970,0
4946,0
5344,0
4432,0
4576,0
5258,0
4078,0
4100,0
4050,0
3740,0
3932,0
3464,0
4020,0
3630,0
3598,0
3990,0
3690,0
3444,0
3806,0
3496,0
3634,0
3114,0
3162,0
4640,0
4480,0
3250,0
4064,0
3482,0
3248,0
3550,0
3316,0
4114,0
3534,0
3648,0
3968,0
3882,0
4072,0
4290,0
4962,0
4740,0
4846,0
5178,0
5686,0
5900,0
6712,0
6678,0
7176,0
7548,0
8000,0
9224,0
9390,0
9830,0
10124,0
10830,0
11266,0
12096,0
12676,0
13084,0
13938,0
13978,0
14434,0
15168,0
15736,0
15940,0
16102,0
16970,0
17882,0
19188,0
20108,0
21436,0
21648,0
22262,0
22716,0
24506,0
24458,0
25414,0
26152,0
27112,0
28416,0
28748,0
29980,0
29772,0
30828,0
30812,0
32024,0
33840,0
33178,0
33372,0
31822,0
32752,0
34470,0
34530,0
33246,0
32640,0
32814,0
33080,0
34086,0
33264,0
33872,0
33880,0
32336,0
32262,0
32566,0
32442,0
32388,0
32682,0
31282,0
29966,0
30128,0
30358,0
31348,0
30142,0
29914,0
29464,0
28988,0
29710,0
29462,0
29648,0
29198,0
30588,0
29746,0
30030,0
30600,0
30110,0
30772,0
30334,0
30244,0
29608,0
29882,0
29630,0
28708,0
30200,0
28432,0
28316,0
28592,0
29378,0
28568,0
28166,0
29032,0
29282,0
30000,0
29928,0
29726,0
29576,0
31510,0
31338,0
31472,0
31890,0
31160,0
31382,0
30986,0
32266,0
31240,0
31268,0
30814,0
31284,0
30868,0
29544,0
29928,0
30188,0
30602,0
30638,0
30316,0
30032,0
30180,0
29240,0
30230,0
29948,0
30182,0
29880,0
29664,0
29166,0
29566,0
28106,0
28322,0
28356,0
29484,0
28604,0
28736,0
28684,0
27976,0
28072,0
28696,0
28600,0
28442,0
28068,0
27794,0
28364,0
27852,0
27638,0
28402,0
28100,0
28584,0
28280,0
28294,0
29094,0
28856,0
28500,0
29704,0
29520,0
29080,0
29824,0
29402,0
29476,0
29270,0
30016,0
29188,0
30458,0
29562,0
29254,0
29096,0
29874,0
29136,0
29828,0
29490,0
29318,0
29618,0
30104,0
29324,0
29948,0
29758,0
29162,0
29548,0
29074,0
29106,0
29164,0
29770,0
29120,0
28712,0
28912,0
29156,0
28980,0
29096,0
27340,0
26618,0
26918,0
26424,0
25886,0
25578,0
25052,0
24524,0
23504,0
23284,0
23190,0
22184,0
21930,0
21162,0
20902,0
19196,0
19000,0
18044,0
17612,0
17036,0
17350,0
18638,0
15158,0
15322,0
13880,0
15218,0
14674,0
13890,0
13060,0
12342,0
11900,0
11304,0
10556,0
10428,0
9976,0
10108,0
8842,0
9766,0
8726,0
7488,0
7602,0
7510,0
6970,0
7000,0
6410,0
5954,0
6200,0
6226,0
5626,0
5696,0
5252,0
5352,0
5158,0
4928,0
4946,0
4830,0
4596,0
4310,0
4236,0
4312,0
4202,0
4210,0
3998,0
3662,0
3752,0
3912,0
3586,0
3804,0
3432,0
3406,0
3658,0
3588,0
3400,0
3310,0
3266,0
3576,0
3314,0
3226,0
3232,0
3226,0
3014,0
3334,0
3232,0
3188,0
3422,0
3588,0
3568,0
3850,0
3644,0
3874,0
4032,0
3930,0
4044,0
4418,0
4554,0
4732,0
5250,0
5212,0
5706,0
6350,0
6274,0
6908,0
7232,0
8268,0
8704,0
9442,0
9408,0
10080,0
10222,0
11472,0
11672,0
12544,0
12866,0
13970,0
13636,0
14542,0
14930,0
15606,0
16274,0
16414,0
16830,0
17322,0
19086,0
20610,0
20258,0
21274,0
21918,0
22316,0
23630,0
24390,0
25044,0
26106,0
26838,0
29316,0
30396,0
30614,0
30284,0
31160,0
31742,0
32280,0
34438,0
34334,0
34958,0
35284,0
35078,0
38226,0
36630,0
34858,0
35462,0
35696,0
33372,0
33994,0
33640,0
35154,0
34504,0
34598,0
34022,0
34434,0
33336,0
33346,0
33568,0
33430,0
33666,0
32338,0
32096,0
32390,0
32194,0
31480,0
31470,0
31058,0
31160,0
33338,0
33264,0
33038,0
33274,0
33498,0
32762,0
32886,0
31782,0
32358,0
31498,0
31190,0
32080,0
31084,0
31342,0
31560,0
30894,0
30342,0
29490,0
29998,0
30524,0
30316,0
31400,0
31962,0
31588,0
32400,0
33030,0
32894,0
32616,0
33030,0
33984,0
33782,0
34346,0
34528,0
34210,0
34598,0
34672,0
35248,0
34056,0
33604,0
32384,0
33620,0
34056,0
32786,0
32734,0
32892,0
33550,0
33124,0
33466,0
33768,0
32820,0
33184,0
33402,0
32490,0
32788,0
31898,0
33430,0
32018,0
32032,0
32170,0
32928,0
32154,0
32008,0
31314,0
31246,0
31772,0
32732,0
32800,0
32486,0
31848,0
32172,0
31546,0
31658,0
31156,0
30422,0
31062,0
31258,0
31276,0
31488,0
31586,0
31094,0
31558,0
30632,0
30946,0
32276,0
32146,0
31924,0
31674,0
31852,0
32084,0
32598,0
32884,0
32332,0
32674,0
31946,0
31838,0
32596,0
32080,0
32206,0
32480,0
33078,0
32262,0
32056,0
31718,0
32138,0
32096,0
31988,0
31572,0
32248,0
32184,0
31748,0
30926,0
29892,0
29362,0
28920,0
30058,0
30038,0
30080,0
29522,0
28832,0
27748,0
28466,0
27812,0
26898,0
25448,0
25266,0
24854,0
24648,0
23854,0
22672,0
21942,0
21102,0
21330,0
19840,0
18564,0
18656,0
17968,0
17478,0
17090,0
16622,0
15778,0
15236,0
14636,0
15776,0
14784,0
13448,0
13664,0
12466,0
12352,0
12088,0
11452,0
10394,0
10038,0
9662,0
9144,0
8924,0
8602,0
8450,0
8118,0
7712,0
7418,0
7114,0
7504,0
6904,0
6962,0
6344,0
6046,0
6144,0
5814,0
5432,0
5228,0
5100,0
5224,0
5004,0
4670,0
4652,0
4614,0
4690,0
4590,0
4244,0
4102,0
3934,0
3972,0
4222,0
3880,0
3680,0
3654,0
3400,0
3650,0
3450,0
3490,0
3494,0
3504,0
3170,0
3218,0
3544,0
3262,0
3234,0
3160,0
3310,0
3210,0
3298,0
3430,0
3458,0
3582,0
3454,0
3642,0
3860,0
3918,0
3882,0
4054,0
4252,0
4296,0
4730,0
4610,0
5340,0
5590,0
6498,0
5982,0
6580,0
7036,0
7440,0
7990,0
8234,0
8810,0
9392,0
9700,0
10482,0
11480,0
12112,0
12612,0
13358,0
13356,0
14214,0
14350,0
14748,0
15072,0
15764,0
16870,0
17350,0
18148,0
19030,0
19296,0
19188,0
20566,0
21078,0
21838,0
22152,0
22834,0
23622,0
23408,0
25486,0
26808,0
26338,0
25760,0
27526,0
27268,0
28554,0
29540,0
29426,0
29142,0
28870,0
27814,0
29488,0
30720,0
30384,0
28996,0
28834,0
29352,0
29130,0
28844,0
29102,0
29748,0
29536,0
30092,0
29732,0
29206,0
29972,0
28788,0
28694,0
29094,0
28530,0
28472,0
27632,0
27292,0
28560,0
26822,0
27692,0
27380,0
27314,0
27424,0
27490,0
